codigo,descricao
27701,4 G
27702,4G
27801,EMBALAGEM COM 400 UNIDADES
27802,400 UNIDADES
27803,400 COMPRIMIDOS
27804,400 CAPSULAS
27805,400 DRAGEAS
27901,430 ML
27902,430ML
28001,450 ML
28002,450ML
28101,490 G
28102,490G
28201,490 ML
28202,490ML
28301,EMBALAGEM COM 56 UNIDADES
28302,56 UNIDADES
28303,56 COMPRIMIDOS
28304,56 CAPSULAS
28305,56 DRAGEAS
28401,8 ML
28402,8ML
28501,6 G
28502,6G
28601,6 ML
28602,6ML
28701,65 G
28702,65G
28703,65GR
28704,65 GRAMAS
28801,EMBALAGEM COM 9 UNIDADES
28802,9 UNIDADES
28803,9 COMPRIMIDOS
28804,9 CAPSULAS
28805,9 DRAGEAS
28901,7 ML
28902,7ML
29001,8 G
29002,8G
29101,"8,5 ML"
29102,"8,5ML"
29201,85 ML
29202,85ML
29301,800 ML
29302,800ML
29401,9 G
29402,9G
29501,9 ML
29502,9ML
29601,95 ML
29602,95ML
29701,950 ML
29702,950ML
29801,EMBALAGEM COM 500 UNIDADES
29802,500 UNIDADES
29803,500 COMPRIMIDOS
29804,500 CAPSULAS
29805,500 DRAGEAS
29901,1200 G
29902,"1,2 KG"
29903,1200G
29904,"1,2KG"
29905,1200GR
30001,1300 G
30002,"1,3 KG"
30003,1300G
30004,"1,3KG"
30101,155 G
30102,155G
30201,30000 G
30202,30 KG
30203,30000G
30204,30KG
30301,370 ML
30302,370ML
30401,40000 G
30402,40 KG
30403,40000G
30404,40KG
30501,1600 G
30502,"1,6 KG"
30503,1600G
30504,"1,6KG"
30601,410 G
30602,410G
30701,420 G
30702,420G
30703,420 GRAMAS
30801,50000 G
30802,50 KG
30803,50000G
30804,50KG
30901,60000 G
30902,60 KG
30903,60000G
30904,60KG
31001,74 G
31002,74G
31101,750 G
31102,750G
31201,9000 ML
31202,9 L
31203,9000ML
31204,9L
31301,1800 G
31302,"1,8 KG"
31303,1800G
31304,"1,8KG"
31401,25000 G
31402,25 KG
31403,25000G
31404,25KG
31501,2500 ML
31502,"2,5 L"
31503,2500ML
31504,"2,5L"
31505,"2,5 LITROS"
31601,270 ML
31602,270ML
31701,220 G
31702,220G
31703,220GR
31801,290 G
31802,290G
31901,224 G
31902,224G
32001,237 ML
32002,237ML
32101,10000 ML
32102,10 L
32103,10000ML
32104,10L
32201,114 G
32202,114G
32301,126 G
32302,126G
32401,14000 G
32402,14 KG
32403,14000G
32404,14KG
32501,185 G
32502,185G
32601,20000 ML
32602,20 L
32603,20000ML
32604,20L
32605,20 LITROS
32701,225 G
32702,225G
32801,EMBALAGEM COM 240 UNIDADES
32802,240 UNIDADES
32803,240 COMPRIMIDOS
32804,240 CAPSULAS
32805,240 DRAGEAS
32901,265 G
32902,265G
33001,275 ML
33002,275ML
33101,279 G
33102,279G
33201,295 G
33202,295G
33203,295GR
33301,EMBALAGEM COM 300 UNIDADES
33302,300 UNIDADES
33303,300 COMPRIMIDOS
33304,300 CAPSULAS
33305,300 DRAGEAS
33401,310 G
33402,310G
33501,310 ML
33502,310ML
33601,320 ML
33602,320ML
33701,385 G
33702,385G
33801,530 G
33802,530G
33901,550 ML
33902,550ML
34001,64 G
34002,64G
34101,650 ML
34102,650ML
34201,73 G
34202,73G
34301,EMBALAGEM COM 75 UNIDADES
34302,75 UNIDADES
34303,75 COMPRIMIDOS
34304,75 CAPSULAS
34305,75 DRAGEAS
34401,83 G
34402,83G
34501,870 ML
34502,870ML
34601,880 ML
34602,880ML
34701,870 G
34702,870G
34801,84 G
34802,84G
34901,1250 ML
34902,"1,25 L"
34903,1250ML
34904,"1,25L"
35001,145 G
35002,145G
35101,27 G
35102,27G
35201,345 G
35202,345G
35301,355 G
35302,355G
35401,365 G
35402,365G
35501,4000 ML
35502,4 L
35503,4000ML
35504,4L
35601,4500 ML
35602,"4,5 L"
35603,4500ML
35604,"4,5L"
35701,495 G
35702,495G
35801,12 L
35901,2 M3
36001,"1,75 L"
36002,"1,75L"
36003,1750 ML
36101,13 KG
36102,13 K
36103,13 KILOS
36104,13K
36105,13KG
36106,13 QUILOS
36201,7KG
36301,500 L
36302,500L
36401,7 KG
36501,18 L
36502,18L
36601,30 LITROS
36602,30L
36701,180 L
36801,280 L
36901,15 L
36902,15L
37001,100 L
37101,7 G
37201,45 KG
37301,35 KG
37401,250 L
37501,52 KG
37601,26 KG
37701,39 KG
37801,60 L
37901,80 L
38001,1000 L
